Symbol	RAPdb	MSU
GLO3	Os07g0152900	LOC_Os07g05820
GLO4	Os07g0616500	LOC_Os07g42440
GLR1|OsWOX3B|GL1|LSY1	Os05g0118700	LOC_Os05g02730
GLR3.1	Os04g0585200	LOC_Os04g49570
GluA	Os10g0400200	LOC_Os10g26060
GluB-1	Os02g0249900	LOC_Os02g15169
GluB4	Os02g0268300	LOC_Os02g16830
GluB5	Os02g0268100	LOC_Os02g16820
GluB6	Os02g0248800	LOC_Os02g15070
GluD	Os02g0249000	LOC_Os02g15090
Glup3|OsVPE1	Os04g0537900	LOC_Os04g45470
GLUP6|GEF	Os03g0262900	LOC_Os03g15650
Gn1a|OsCKX2	Os01g0197700	LOC_Os01g10110
GN2	None	None
Gnp4|LAX2	Os04g0396500	LOC_Os04g32510
Gns1	Os02g0771700	LOC_Os02g53200
GnT1	Os02g0832800	LOC_Os02g58590
GOS9	Os06g0169001	LOC_Os06g07250
GOT1B|GLUP2	Os03g0209400	LOC_Os03g11100
gp1	Os07g0142200	LOC_Os07g04930
GPA3	Os03g0835800	LOC_Os03g61950
GRP162	Os03g0641300	LOC_Os03g43990
GRY79	Os02g0539600	LOC_Os02g33610
GS2|OsGRF4|GL2|GLW2	Os02g0701300	LOC_Os02g47280
GS3	Os03g0407400	None
GS5	Os05g0158500	LOC_Os05g06660
GS9	Os09g0448500	LOC_Os09g27590
GSD1	Os04g0620200	LOC_Os04g52920
GSE5	Os05g0187500	LOC_Os05g09520
GSK2	Os05g0207500	LOC_Os05g11730
GSL5|OsGSL5	Os06g0182300	LOC_Os06g08380
GT-2	Os04g0541100	LOC_Os04g45750
GTE4|OsGTE4	Os02g0250300	LOC_Os02g15220
GUDK	Os03g0179400	LOC_Os03g08170
GW2	Os02g0244100	LOC_Os02g14720
GW5|qSW5	None	None
GW7|GL7|SLG7	Os07g0603300	LOC_Os07g41200
HAZ1|HOX1a	Os06g0229300	LOC_Os06g12400
Hb5	Os05g0517600	LOC_Os05g44140
hbd2|OsCKI1	Os02g0622100	LOC_Os02g40860
HBF1	Os05g0489700	LOC_Os05g41070
HBF2	Os01g0813100	LOC_Os01g59760
Hd1	Os06g0275000	LOC_Os06g16370
Hd17|Ef7|OsELF3-1|OsELF3.1	Os06g0142600	LOC_Os06g05060
Hd18	Os08g0143400	LOC_Os08g04780
Hd3a	Os06g0157700	LOC_Os06g06320
Hd5|DTH8|Ghd8|OsHAP3H|LHD1|EF8|CAR8|OsNF-YB11	Os08g0174500	LOC_Os08g07740
Hd6|CK2	Os03g0762000	LOC_Os03g55389
